XM_025153287.1	PFKFB3
XM_015291096.2	PFKFB3
XM_025153289.1	PFKFB3
XM_015290968.2	PFKFB3
XM_015291215.2	PFKFB3
XM_015290911.2	PFKFB3
XM_015290849.2	PFKFB3
XR_003076603.1	LOC112532968
XR_003076604.1	LOC112532968
XR_001467814.2	LOC107053972
XM_025153313.1	PRKCQ
XM_025153318.1	SFMBT2
NM_001030842.1	LOC419112
XM_015293958.2	LOC419112
XM_015294280.2	ITIH5
XM_015294316.2	ITIH5
NM_001130741.1	ITIH2
XM_025153325.1	KIN
XM_015293766.2	ATP5C1
NM_001278097.1	ATP5C1
NM_001278096.1	ATP5C1
NM_001030841.2	TAF3
XM_015293603.2	TAF3
XR_001468950.2	LOC107054553
XR_001468956.2	LOC107054553
XM_015293418.2	GATA3
XM_015293289.2	GATA3
XM_015293371.2	GATA3
XM_015293337.2	GATA3
NM_001008444.1	GATA3
XR_003076605.1	LOC112532970
XR_001469125.2	LOC107054641
XR_001469104.2	LOC107054627
XR_001469088.2	LOC107054620
XR_003076607.1	LOC112532972
XR_003076608.1	LOC107054917
XR_001469798.2	LOC100859811
NR_035114.1	MIR1626
NM_204260.2	CELF2
NR_035082.1	MIR1596
XM_025150830.1	USP6NL
XM_025150834.1	USP6NL
XM_025150811.1	USP6NL
NM_001030840.2	USP6NL
XM_015295914.2	USP6NL
XM_025150818.1	USP6NL
XM_015295860.2	USP6NL
XM_015295824.2	USP6NL
XM_025150820.1	USP6NL
XM_025150821.1	USP6NL
XM_025150823.1	USP6NL
XM_015296057.2	USP6NL
XM_015295969.2	USP6NL
XM_015296018.2	USP6NL
NM_001198652.2	ECHDC3
XM_015297326.2	PROSER2
XM_015297667.2	UPF2
XM_015297600.2	UPF2
XM_015297566.2	UPF2
XM_423753.6	DHTKD1
NM_001321620.1	SEC61A2
XM_015297820.2	SEC61A2
XM_015296523.2	NUDT5
NM_001278105.1	NUDT5
NM_001278106.1	NUDT5
NM_001278107.1	NUDT5
XM_025150989.1	NUDT5
XM_015296387.2	NUDT5
XM_015296422.2	NUDT5
XM_015296341.2	NUDT5
XM_025150979.1	NUDT5
XM_015296473.2	NUDT5
XM_424021.6	CDC123
XR_003076612.1	LOC112532973
XR_003076613.1	LOC112532973
XM_003640331.4	CAMK1D
XM_003640333.3	CCDC3
NM_204236.1	OPTN
XM_025154181.1	MCM10
XM_424238.6	PHYH
NM_001164084.2	SEPHS1
XM_015296736.2	SEPHS1
NM_001282235.1	BEND7
XM_004937491.3	PRPF18
XM_417229.6	PRPF18
XM_015298970.2	FRMD4A
XM_015298714.2	FRMD4A
XM_015298775.2	FRMD4A
XM_015298850.2	FRMD4A
XM_015298935.2	FRMD4A
XM_015298894.2	FRMD4A
XM_025153376.1	FRMD4A
XM_025153380.1	FRMD4A
NR_035026.2	MIR1460
XM_025153416.1	FAM107B
